"RUBRO","SUBRUBRO","MARCA","Rubro","Subrubro",,"Orden","Codigo","Nombre","Precio","Unidad por bulto fact.","Texto",
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 6,8,1","ACINDAR",1,2027,"1.2027",7,1840,"KG HIERRO LISO (B)  6 MM                          ","9.56",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 6,8,1","ACINDAR",1,2027,"1.2027",8,1842,"KG HIERRO LISO (B)  8 MM                          ","9.38",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 6,8,1","ACINDAR",1,2027,"1.2027",9,1844,"KG HIERRO LISO (B) 10 MM                          ","9.38",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 12,14","ACINDAR",1,1749,"1.1749",1,21575,"BARRA HIERRO LISO 12 MM ( **6 MTS**)              ","52.16","5.4","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 12,14","ACINDAR",1,1749,"1.1749",2,1860,"BARRA HIERRO LISO 12 MM (12 MTS)                  ","102.32","10.8","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 12,14","ACINDAR",1,1749,"1.1749",3,21576,"BARRA HIERRO LISO 14 MM ( **6 MTS**)              ","71.97","7.45","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 12,14","ACINDAR",1,1749,"1.1749",4,7075,"BARRA HIERRO LISO 14 MM (12 MTS)                  ","141.17","14.9","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 12,14","ACINDAR",1,1749,"1.1749",5,1861,"BARRA HIERRO LISO 16 MM (12 MTS)                  ","186.58","19.9","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 12,14","ACINDAR",1,1749,"1.1749",6,1862,"BARRA HIERRO LISO 20 MM (12 MTS)                  ","281.28",30,"UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 12,14","ACINDAR",1,1749,"1.1749",7,1863,"BARRA HIERRO LISO 25 MM (12 MTS)                  ","441.61","47.1","UNI",1
